Area Code,Area,Item Description,Year,Unit,Value,Flag Code,Flag Description,Value_Missing
2,Afghanistan,"Prevalence of unaffordability (PUA), percent",2017,%,,O,Missing value,True
2,Afghanistan,"Prevalence of unaffordability (PUA), percent",2018,%,,O,Missing value,True
2,Afghanistan,"Prevalence of unaffordability (PUA), percent",2019,%,,O,Missing value,True
2,Afghanistan,"Prevalence of unaffordability (PUA), percent",2020,%,,O,Missing value,True
2,Afghanistan,"Prevalence of unaffordability (PUA), percent",2021,%,,O,Missing value,True
2,Afghanistan,"Prevalence of unaffordability (PUA), percent",2022,%,,O,Missing value,True
2,Afghanistan,"Number of people unable to afford a healthy diet (NUA), million",2017,million No,,O,Missing value,True
2,Afghanistan,"Number of people unable to afford a healthy diet (NUA), million",2018,million No,,O,Missing value,True
2,Afghanistan,"Number of people unable to afford a healthy diet (NUA), million",2019,million No,,O,Missing value,True
2,Afghanistan,"Number of people unable to afford a healthy diet (NUA), million",2020,million No,,O,Missing value,True
2,Afghanistan,"Number of people unable to afford a healthy diet (NUA), million",2021,million No,,O,Missing value,True
2,Afghanistan,"Number of people unable to afford a healthy diet (NUA), million",2022,million No,,O,Missing value,True
3,Albania,"Cost of a healthy diet (CoHD), LCU per person per day",2017,LCU/cap/d,160.41,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), LCU per person per day",2018,LCU/cap/d,164.71,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), LCU per person per day",2019,LCU/cap/d,169.51,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), LCU per person per day",2020,LCU/cap/d,175.63,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), LCU per person per day",2021,LCU/cap/d,182.48,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), LCU per person per day",2022,LCU/cap/d,203.92,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), LCU per person per day",2023,LCU/cap/d,223.17,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), LCU per person per day",2024,LCU/cap/d,230.79,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2017,Int$ (PPP) per person per day,3.04,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2018,Int$ (PPP) per person per day,3.13,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2019,Int$ (PPP) per person per day,3.32,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2020,Int$ (PPP) per person per day,3.4,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2021,Int$ (PPP) per person per day,3.49,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2022,Int$ (PPP) per person per day,4.14,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2023,Int$ (PPP) per person per day,4.58,E,Estimated value,False
3,Albania,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2024,Int$ (PPP) per person per day,4.77,E,Estimated value,False
3,Albania,"Cost of starchy staples, LCU per person per day",2021,LCU/cap/d,24.81,E,Estimated value,False
3,Albania,"Cost of starchy staples, PPP dollar per person per day",2021,Int$ (PPP) per person per day,0.47,E,Estimated value,False
3,Albania,"Cost of animal source foods, LCU per person per day",2021,LCU/cap/d,59.08,E,Estimated value,False
3,Albania,"Cost of animal source foods, PPP dollar per person per day",2021,Int$ (PPP) per person per day,1.13,E,Estimated value,False
3,Albania,"Cost of legumes, nuts and seeds, LCU per person per day",2021,LCU/cap/d,21.57,E,Estimated value,False
3,Albania,"Cost of legumes, nuts and seeds, PPP dollar per person per day",2021,Int$ (PPP) per person per day,0.41,E,Estimated value,False
3,Albania,"Cost of vegetables, LCU per person per day",2021,LCU/cap/d,31.19,E,Estimated value,False
3,Albania,"Cost of vegetables, PPP dollar per person per day",2021,Int$ (PPP) per person per day,0.6,E,Estimated value,False
3,Albania,"Cost of fruits, LCU per person per day",2021,LCU/cap/d,40.1,E,Estimated value,False
3,Albania,"Cost of fruits, PPP dollar per person per day",2021,Int$ (PPP) per person per day,0.77,E,Estimated value,False
3,Albania,"Cost of oils and fats, LCU per person per day",2021,LCU/cap/d,5.72,E,Estimated value,False
3,Albania,"Cost of oils and fats, PPP dollar per person per day",2021,Int$ (PPP) per person per day,0.11,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2017,%,24.3,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2017,%,24.3,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2018,%,17.6,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2018,%,17.5,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2019,%,14.6,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2019,%,15.3,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2020,%,13.9,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2020,%,14.1,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2021,%,12.6,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2021,%,12.6,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2022,%,11.7,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2022,%,12.2,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2023,%,11.4,E,Estimated value,False
3,Albania,"Prevalence of unaffordability (PUA), percent",2024,%,10.7,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2017,million No,0.7,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2017,million No,0.7,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2018,million No,0.5,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2018,million No,0.5,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2019,million No,0.4,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2019,million No,0.4,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2020,million No,0.4,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2020,million No,0.4,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2021,million No,0.4,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2021,million No,0.4,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2022,million No,0.3,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2022,million No,0.3,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2023,million No,0.3,E,Estimated value,False
3,Albania,"Number of people unable to afford a healthy diet (NUA), million",2024,million No,0.3,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), LCU per person per day",2017,LCU/cap/d,155.33,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), LCU per person per day",2018,LCU/cap/d,160.56,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), LCU per person per day",2019,LCU/cap/d,159.7,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), LCU per person per day",2020,LCU/cap/d,160.01,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), LCU per person per day",2021,LCU/cap/d,176.08,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), LCU per person per day",2022,LCU/cap/d,199.7,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), LCU per person per day",2023,LCU/cap/d,226.23,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), LCU per person per day",2024,LCU/cap/d,233.64,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2017,Int$ (PPP) per person per day,4.1,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2018,Int$ (PPP) per person per day,4.16,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2019,Int$ (PPP) per person per day,4.18,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2020,Int$ (PPP) per person per day,4.19,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2021,Int$ (PPP) per person per day,4.47,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2022,Int$ (PPP) per person per day,5.01,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2023,Int$ (PPP) per person per day,5.41,E,Estimated value,False
4,Algeria,"Cost of a healthy diet (CoHD), PPP dollar per person per day",2024,Int$ (PPP) per person per day,5.53,E,Estimated value,False
4,Algeria,"Cost of starchy staples, LCU per person per day",2021,LCU/cap/d,21.89,E,Estimated value,False
4,Algeria,"Cost of starchy staples, PPP dollar per person per day",2021,Int$ (PPP) per person per day,0.56,E,Estimated value,False
4,Algeria,"Cost of animal source foods, LCU per person per day",2021,LCU/cap/d,53.59,E,Estimated value,False
4,Algeria,"Cost of animal source foods, PPP dollar per person per day",2021,Int$ (PPP) per person per day,1.36,E,Estimated value,False
4,Algeria,"Cost of legumes, nuts and seeds, LCU per person per day",2021,LCU/cap/d,23.01,E,Estimated value,False
4,Algeria,"Cost of legumes, nuts and seeds, PPP dollar per person per day",2021,Int$ (PPP) per person per day,0.58,E,Estimated value,False
4,Algeria,"Cost of vegetables, LCU per person per day",2021,LCU/cap/d,28.3,E,Estimated value,False
4,Algeria,"Cost of vegetables, PPP dollar per person per day",2021,Int$ (PPP) per person per day,0.72,E,Estimated value,False
4,Algeria,"Cost of fruits, LCU per person per day",2021,LCU/cap/d,43.35,E,Estimated value,False
4,Algeria,"Cost of fruits, PPP dollar per person per day",2021,Int$ (PPP) per person per day,1.1,E,Estimated value,False
4,Algeria,"Cost of oils and fats, LCU per person per day",2021,LCU/cap/d,5.94,E,Estimated value,False
4,Algeria,"Cost of oils and fats, PPP dollar per person per day",2021,Int$ (PPP) per person per day,0.15,E,Estimated value,False
4,Algeria,"Prevalence of unaffordability (PUA), percent",2017,%,18.8,E,Estimated value,False
4,Algeria,"Prevalence of unaffordability (PUA), percent",2017,%,18.5,E,Estimated value,False
4,Algeria,"Prevalence of unaffordability (PUA), percent",2018,%,18.1,E,Estimated value,False
4,Algeria,"Prevalence of unaffordability (PUA), percent",2018,%,17.8,E,Estimated value,False
4,Algeria,"Prevalence of unaffordability (PUA), percent",2019,%,17.5,E,Estimated value,False
4,Algeria,"Prevalence of unaffordability (PUA), percent",2019,%,17.1,E,Estimated value,False
4,Algeria,"Prevalence of unaffordability (PUA), percent",2020,%,19.2,E,Estimated value,False
4,Algeria,"Prevalence of unaffordability (PUA), percent",2020,%,18.9,E,Estimated value,False
4,Algeria,"Prevalence of unaffordability (PUA), percent",2021,%,19.6,E,Estimated value,False
